Month,Day,Hour,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,4,23,12.037506,13.537506,13.537506,11.975006,20.537506,17.605988,21.850006,15.725006,21.412506,13.475006,11.600006,19.662506,14.350006,13.287506,14.100006,20.287506,14.725006,24.350006,16.287506,17.975006,17.787506,18.100006,14.475006,20.475006
January,5,0,12.412506,13.475006,13.537506,12.225006,19.225006,17.167755,21.475006,15.475006,20.725006,13.225006,11.662506,19.412506,14.412506,13.162506,13.600006,20.162506,14.537506,23.350006,15.850006,17.162506,17.412506,17.600006,14.225006,20.037506
January,5,1,12.850006,13.037506,13.100006,12.350006,19.100006,16.26184,20.225006,14.537506,19.225006,11.912506,11.225006,18.600006,14.537506,13.100006,12.537506,18.162506,12.975006,20.662506,14.537506,16.100006,16.100006,16.725006,13.975006,18.912506
January,5,2,12.975006,13.537506,13.412506,11.537506,16.537506,15.629303,20.350006,14.100006,18.287506,11.725006,11.287506,16.725006,14.287506,13.100006,11.287506,17.100006,12.037506,19.287506,14.162506,14.537506,14.037506,15.850006,13.912506,17.850006
January,5,3,13.162506,11.225006,12.162506,9.100006,13.725006,12.378235,14.662506,11.600006,14.225006,8.225006,8.912506,14.662506,13.225006,13.100006,8.975006,14.537506,10.287506,16.475006,12.100006,13.912506,12.850006,14.475006,13.600006,17.350006
January,5,4,12.975006,10.787506,11.787506,8.350006,12.475006,11.74881,13.787506,10.725006,13.850006,7.787506,8.850006,14.287506,13.100006,13.412506,8.662506,13.850006,9.537506,15.225006,9.787506,13.537506,12.162506,13.787506,13.600006,16.350006
January,5,5,12.475006,10.725006,11.537506,7.662506,11.037506,11.001862,13.225006,11.037506,13.850006,7.600006,9.100006,14.100006,12.662506,13.662506,8.100006,13.225006,9.475006,14.975006,9.412506,12.162506,12.225006,13.475006,13.600006,16.037506
January,5,6,12.412506,10.787506,11.475006,7.350006,10.287506,10.518036,13.100006,10.850006,13.350006,7.225006,8.787506,13.537506,12.100006,13.725006,7.662506,13.100006,9.162506,15.225006,9.037506,11.912506,11.600006,13.475006,13.537506,15.912506
January,5,7,12.287506,10.600006,11.912506,7.475006,10.100006,10.368683,12.912506,10.537506,12.912506,6.850006,8.662506,13.412506,11.725006,13.725006,6.850006,12.725006,8.600006,14.975006,8.537506,11.162506,10.975006,13.287506,13.412506,15.600006
January,5,8,12.225006,10.600006,11.912506,7.412506,8.787506,10.252411,12.850006,10.475006,12.537506,6.600006,8.475006,12.412506,11.412506,13.912506,6.350006,11.850006,8.350006,14.662506,8.287506,10.350006,10.412506,13.350006,13.350006,15.350006
